datetime,q_committed,soc,d_da_prod,d_id_prod,d_da_bat,d_id_bat,charge,is_charging,forecasted_production,forecasted_price_DA,forecasted_price_ID,DA_price_real,DA_price_forecasted,error_x,ID_price_real,ID_price_forecasted,error_y,SMF_real,SMF_forecasted,error,forecasted_production_meteologica,prod_type,powerPlantId,real_production,x_id,x_ceza,bat_to_discharge,revenue,battery_cost,penalty,net_profit,id_costs,total_battery_usage,degradation_cost,cycle_equivalent,DA_revenue,ID_revenue,date,total_cycle,charge_used,discharge_used,id_alim,id_satis
2025-07-20 20:00:00,1.1721860727018996,17.29994859467137,1.1721860727018996,0.0,0.0,0.0,0.08781392729810045,1.0,1.1721860727018996,3035.6082196888374,3039.963165553109,3400.0,3035.6082196888374,-0.10717405303269492,3432.06,3039.963165553109,-0.11424533208827678,3400.0,3278.5360732296126,-0.035724684344231636,1.1721860727018996,RES,1920,1.26,0.0,0.0,0.0,3985.4326471864583,56.025285616188086,0.0,3985.4326471864583,0.0,0.08781392729810045,0.0,0.043906963649050224,3985.4326471864583,0.0,2025-07-20,0.043906963649050224,0.0,0.0,0.0,0.0
2025-07-20 21:00:00,2.9087658856628926,17.383371825604566,2.9087658856628926,0.0,0.0,0.0,0.5112341143371073,-0.0,2.9087658856628926,2260.8750604743977,2249.6322783851756,3400.0,2260.8750604743977,-0.33503674691929475,3434.51,2249.6322783851756,-0.34499178095705774,3400.0,3020.291686824799,-0.11167891563976494,2.9087658856628926,RES,1920,3.42,0.0,0.0,0.0,9889.804011253835,326.1673649470745,0.0,9889.804011253835,0.0,0.5112341143371073,0.0,0.25561705716855365,9889.804011253835,0.0,2025-07-20,0.25561705716855365,0.0,0.0,0.0,0.0
2025-07-20 22:00:00,10.25864051091324,17.86904423422482,10.25864051091324,0.0,0.0,0.0,2.7013594890867605,-0.0,10.25864051091324,1886.4783929642256,1823.3585990302465,3400.0,1886.4783929642256,-0.44515341383405127,3429.79,1823.3585990302465,-0.46837602330456196,3400.0,2895.492797654742,-0.1483844712780171,10.25864051091324,RES,1920,12.96,0.0,0.0,0.0,34879.37773710502,1723.4673540373533,0.0,34879.37773710502,0.0,2.7013594890867605,0.0,1.3506797445433802,34879.37773710502,0.0,2025-07-20,1.3506797445433802,0.0,0.0,0.0,0.0
2025-07-20 23:00:00,15.184264199592286,20.43533574885724,15.184264199592286,0.0,0.0,0.0,3.215735800407712,1.0,15.184264199592286,2478.2793404364793,2381.5342783502206,3348.48,2478.2793404364793,-0.25987930630122347,3388.79,2381.5342783502206,-0.297231673148758,3400.0,3105.47011952528,-0.08662643543374116,15.184264199592286,RES,1920,18.4,0.0,0.0,0.0,50844.204987050776,2051.6394406601203,0.0,50844.204987050776,0.0,3.215735800407712,0.0,1.607867900203856,50844.204987050776,0.0,2025-07-20,1.607867900203856,0.0,0.0,0.0,0.0
2025-07-21 00:00:00,16.087100224876327,23.490284759244567,16.087100224876327,0.0,0.0,0.0,2.5228997751236726,1.0,16.087100224876327,3002.30469102346,2763.1245227650757,3400.0,3002.30469102346,-0.11696920852251179,3267.04,2763.1245227650757,-0.1542422122884704,3400.0,3267.43489700782,-0.0389897361741706,16.087100224876327,RES,1920,18.61,0.0,0.0,0.0,54696.14076457951,1609.6100565289032,0.0,54696.14076457951,0.0,2.5228997751236726,0.0,1.2614498875618363,54696.14076457951,0.0,2025-07-21,1.2614498875618363,0.0,0.0,0.0,0.0
2025-07-21 01:00:00,8.227612681383945,25.887039545612055,8.227612681383945,0.0,0.0,0.0,1.5723873186160553,1.0,8.227612681383945,2659.257705153671,2444.936117474851,3348.47,2659.257705153671,-0.20582901887916838,3199.78,2444.936117474851,-0.23590493175316707,3400.0,3166.7271119369425,-0.06860967295972278,8.227612681383945,RES,1920,9.8,0.0,0.0,0.0,27549.914235233697,1003.1831092770433,0.0,27549.914235233697,0.0,1.5723873186160553,0.0,0.7861936593080276,27549.914235233697,0.0,2025-07-21,0.7861936593080276,0.0,0.0,0.0,0.0
2025-07-21 02:00:00,10.594345737086844,27.380807498297308,10.594345737086844,0.0,0.0,0.0,1.2356542629131564,-0.0,10.594345737086844,3067.5892712927016,2894.878579547778,3155.01,3067.5892712927016,-0.02770854251089494,3071.65,2894.878579547778,-0.05754933682295252,3298.0,3267.5390755996896,-0.009236180836964973,10.594345737086844,RES,1920,11.83,0.0,0.0,0.0,33425.266743966364,788.3474197385938,0.0,33425.266743966364,0.0,1.2356542629131564,0.0,0.6178271314565782,33425.266743966364,0.0,2025-07-21,0.6178271314565782,0.0,0.0,0.0,0.0
2025-07-21 03:00:00,7.329045403488739,28.554679048064806,7.329045403488739,0.0,0.0,0.0,1.5209545965112605,-0.0,7.329045403488739,2143.708846247108,2141.114877012277,2920.0,2143.708846247108,-0.26585313484688095,3001.43,2141.114877012277,-0.28663507827526313,3200.0,2916.4233228299936,-0.08861771161562698,7.329045403488739,RES,1920,8.85,0.0,0.0,0.0,21400.812578187117,970.3690325741842,0.0,21400.812578187117,0.0,1.5209545965112605,0.0,0.7604772982556303,21400.812578187117,0.0,2025-07-21,0.7604772982556303,0.0,0.0,0.0,0.0
2025-07-21 04:00:00,3.0366977815783556,29.999585914750504,3.0366977815783556,0.0,0.0,0.0,0.5333022184216443,-0.0,3.0366977815783556,2408.6791387163375,2396.4638839817444,2900.01,2408.6791387163375,-0.16942385070522606,2981.51,2396.4638839817444,-0.19622477067601854,2900.01,2736.233046238779,-0.05647461690174202,3.0366977815783556,RES,1920,3.57,0.0,0.0,0.0,8806.453933555047,340.246815353009,0.0,8806.453933555047,0.0,0.5333022184216443,0.0,0.26665110921082213,8806.453933555047,0.0,2025-07-21,0.26665110921082213,0.0,0.0,0.0,0.0
2025-07-21 05:00:00,0.10359024009585727,30.506223022251067,0.10359024009585727,0.0,0.0,0.0,0.40640975990414274,1.0,0.4143609603834291,1361.717193263742,1755.3956131204031,1900.0,1361.717193263742,-0.28330674038750414,2541.1,1755.3956131204031,-0.3091985309037806,1900.0,1720.5723977545806,-0.09443558012916806,0.4143609603834291,RES,1920,0.51,0.0,0.0,0.0,196.8214561821288,259.2894268188431,0.0,196.8214561821288,0.0,0.40640975990414274,0.0,0.20320487995207137,196.8214561821288,0.0,2025-07-21,0.20320487995207137,0.0,0.0,0.0,0.0
