datetime,q_committed,soc,d_da_prod,d_id_prod,d_da_bat,d_id_bat,charge,is_charging,forecasted_production,forecasted_price_DA,forecasted_price_ID,DA_price_real,DA_price_forecasted,error_x,ID_price_real,ID_price_forecasted,error_y,SMF_real,SMF_forecasted,error,forecasted_production_meteomatics,prod_type,powerPlantId,real_production,x_id,x_ceza,bat_to_discharge,revenue,battery_cost,penalty,net_profit,extra_income,adjustment_cost,adjustment_penalty,id_costs,total_battery_usage,degradation_cost,cycle_equivalent,date,charge_used,discharge_used,strategy
2025-07-01 00:00:00+03:00,17.34993,31.884284210526317,17.34993,0.0,0.0,0.0,0.8400700000000008,0.0,17.349930357609985,3400.0,3400.0,3200.01,3400.0,0.06590951408900944,3254.18,3400.0,0.04942601489494008,3390.0,3400.0,0.02196983802966982,17.349930357609985,RES,1920,18.19,0.0,0.0,0.0,55519.949499300004,0.955942120958905,0.0,58252.73138605179,2733.7378288727436,0.0,0.0,0.0,0.8400700000000008,0.0,0.4200350000000004,2025-07-01,0.0,0.0,battery_brain
2025-07-01 01:00:00+03:00,3.8110473,58.29701547368421,3.8110473,0.0,0.0,0.0,25.092094699999997,1.0,15.244189253610575,2480.2947433736376,2460.484988054479,3200.01,2480.2947433736376,-0.22491031485100443,3205.13,2460.484988054479,-0.23232911362269903,3390.0,3135.851344218365,-0.0749701049503348,15.244189253610575,RES,1920,17.47,0.0,0.0,0.0,12195.389470473001,28.553085131976708,0.0,19300.849182916158,7134.012797575135,0.0,0.0,0.0,25.092094699999997,0.0,12.546047349999998,2025-07-01,0.0,0.0,battery_brain
2025-07-01 02:00:00+03:00,18.031048,60.22222810526316,18.031048,0.0,0.0,0.0,1.828952000000001,0.0,18.031047710756148,2914.595836730587,2868.150891138275,3190.0,2914.595836730587,-0.0863335935013834,3195.36,2868.150891138275,-0.10240132844553512,3390.0,3292.443039343437,-0.02877786450046113,18.031047710756148,RES,1920,19.86,0.0,0.0,0.0,57519.043119999995,2.0812221053150695,0.0,63361.12288485291,5844.160986958233,0.0,0.0,0.0,1.828952000000001,0.0,0.9144760000000005,2025-07-01,0.0,0.0,battery_brain
2025-07-01 03:00:00+03:00,17.137857,62.0,17.137857,0.1632597000000029,0.0,0.0,1.6888832999999952,0.0,17.137857155367584,2849.4000058775123,2758.2680645277787,3200.0,2849.4000058775123,-0.10956249816327751,3149.87,2758.2680645277787,-0.12432320555204532,3250.0,3131.3072936564495,-0.03652083272109251,17.137857155367584,RES,1920,18.99,0.0,0.0,0.0,55355.389231239016,1.9218335184616382,0.0,61187.476579742855,5834.009182022303,0.0,0.0,0.0,1.6888832999999952,0.0,0.8444416499999976,2025-07-01,0.0,0.0,battery_brain
2025-07-01 04:00:00+03:00,1.0488609,62.0,1.0488609,3.7011391,0.0,0.0,3.1465826,1.0,4.195443413805514,2626.4704208251387,2706.794793330221,3154.07,2626.4704208251387,-0.1672757989438603,3310.45,2706.794793330221,-0.18234838365472328,3154.07,2978.2034736083797,-0.05575859964795345,4.195443413805514,RES,1920,4.75,0.0,0.0,0.0,15560.616632457999,3.580595479443835,0.0,17392.867887746088,1835.831850767535,0.0,0.0,0.0,3.1465826,0.0,1.5732913,2025-07-01,0.0,0.0,battery_brain
2025-07-01 05:00:00+03:00,5.0292758,62.0,5.0292758,0.3707242000000006,0.0,0.0,0.0,0.0,5.029275812590679,3028.3966179676836,3005.8735195658815,3054.71,3028.3966179676836,-0.008614036040185999,3088.57,3005.8735195658815,-0.026775006049439956,3054.71,3045.9388726558946,-0.002871345346728671,5.029275812590679,RES,1920,5.4,0.0,0.0,0.0,16507.986721412002,0.0,0.0,17652.994324918807,1145.0076035068066,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01,0.0,0.0,battery_brain
2025-07-01 06:00:00+03:00,7.0318223,62.0,7.0318223,0.0481777000000001,0.0,0.0,0.0,0.0,7.031822319884068,3343.8417031365675,3400.0,2909.0,3343.8417031365675,0.14948150675028105,3082.05,3400.0,0.13724617444225667,3118.88,3274.284960591106,0.049827168916760346,7.031822319884068,RES,1920,7.08,0.0,0.0,0.0,20604.057150985,0.0,0.0,20752.54316998631,148.4860190013094,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-01,0.0,0.0,battery_brain
2025-07-01 07:00:00+03:00,8.9611155,61.6304047368421,8.9611155,0.0,0.3511155000000006,0.0,0.0,0.0,8.961115476600362,3106.645589685771,3234.2735219378874,2527.0,3106.645589685771,0.2293809219175984,2631.84,3234.2735219378874,0.2289020312548966,3118.88,3357.3505232501197,0.07646030730586614,8.961115476600362,RES,1920,8.61,0.0,0.0,0.3511155000000006,22644.7388685,0.3995453899931513,563.9698243945599,21618.3296207475,0.0,462.03987796794945,563.9698243945599,0.0,0.3511155000000006,0.0,0.1755577500000003,2025-07-01,0.0,0.0,battery_brain
2025-07-01 08:00:00+03:00,15.486153,61.750243684210524,15.486153,0.0,0.0,0.0,0.11384699999999981,0.0,15.486152633828365,3323.2818387542306,3400.0,3284.7,3323.2818387542306,0.01174592466716326,3376.61,3400.0,0.02290369183228705,3350.0,3363.1162825449987,0.003915308222387753,15.486152633828365,RES,1920,15.6,0.0,0.0,0.0,50867.3667591,0.12955008826027375,0.0,51251.65536410054,384.4181550888046,0.0,0.0,0.0,0.11384699999999981,0.0,0.056923499999999905,2025-07-01,0.0,0.0,battery_brain
2025-07-01 09:00:00+03:00,20.055891,62.0,20.055891,0.2068404999999988,0.0,0.0,0.23726850000000219,0.0,20.05589126632041,3088.386513916962,3255.0987057988505,3214.84,3088.386513916962,-0.039334301577384226,3360.95,3255.0987057988505,-0.0314944566866956,3348.0,3304.102919439639,-0.013111433859128078,20.05589126632041,RES,1920,20.5,0.0,0.0,0.0,65171.661200915,0.26999530173287917,0.0,66664.0184540737,1492.6272484604235,0.0,0.0,0.0,0.23726850000000219,0.0,0.11863425000000109,2025-07-01,0.0,0.0,battery_brain
