datetime,q_committed,soc,d_da_prod,d_id_prod,d_da_bat,d_id_bat,charge,is_charging,forecasted_production,forecasted_price_DA,forecasted_price_ID,DA_price_real,DA_price_forecasted,error_x,ID_price_real,ID_price_forecasted,error_y,SMF_real,SMF_forecasted,error,forecasted_production_meteologica,prod_type,powerPlantId,real_production,x_id,x_ceza,bat_to_discharge,revenue,battery_cost,penalty,net_profit,id_costs,total_battery_usage,degradation_cost,cycle_equivalent,DA_revenue,ID_revenue
2025-04-17 23:00:00+03:00,11.466965,59.532874339628876,1.4669651,0.13303490000000018,10.0,68.933035,0.0,0.0,1.4669651226331164,3188.6565636084556,3179.607116774927,3360.0,3188.6565636084556,-0.05099507035462626,3439.92,3179.607116774927,-0.07567410963774539,3398.01,3340.2494136614255,-0.016998356784875435,1.4669651226331164,RES,1920,1.6,0.0,0.0,78.933035,276110.75757040805,50359.27633,0.0,225751.48124040806,0.0,78.933035,0.0,39.4665175,38529.0024,237581.75517040803
2025-04-18 00:00:00+03:00,4.0737182,10.0,4.0737182,0.0,0.0,0.0,0.11628180000000032,0.0,4.073718186600725,3400.0,3400.0,3360.0,3400.0,0.09817062528572404,3245.18,3400.0,0.07957949623396529,3400.0,3400.0,0.03272354176190801,4.073718186600725,RES,1920,4.19,0.0,0.0,0.0,13687.693152,74.1877884000002,0.0,13613.5053636,0.0,0.11628180000000032,0.0,0.05814090000000016,13687.693152,0.0
2025-04-18 01:00:00+03:00,14.200083,10.112793346,14.200083,0.0,0.0,0.0,0.5199170000000013,0.0,14.200083449234077,3173.4987980012493,2863.2599893317088,3100.0,3173.4987980012493,0.023709289677822355,2816.69,2863.2599893317088,0.016533587058465374,2350.0,2368.572276914294,0.007903096559274115,14.200083449234077,RES,1920,14.72,0.0,0.0,0.0,44020.2573,331.70704600000084,0.0,43688.550253999994,0.0,0.5199170000000013,0.0,0.25995850000000065,44020.2573,0.0
2025-04-18 02:00:00+03:00,21.255224,10.617112836,21.255224,0.0,0.0,0.0,0.6147760000000027,0.0,21.255224339848635,2929.318576588873,2671.1229593456555,2871.99,2929.318576588873,0.019961273050697663,2627.81,2671.1229593456555,0.016482530832006743,2350.0,2365.63633055638,0.006653757683565886,21.255224339848635,RES,1920,21.87,0.0,0.0,0.0,61044.79077575999,392.2270880000017,0.0,60652.56368775999,0.0,0.6147760000000027,0.0,0.3073880000000013,61044.79077575999,0.0
2025-04-18 03:00:00+03:00,27.544061,11.213445556000003,27.544061,0.0,0.0,0.0,2.935939000000001,0.0,27.54406100493974,2144.863051363909,2132.567534502868,2699.0,2144.863051363909,-0.20531194836461303,2687.8,2132.567534502868,-0.20657506715422724,2699.0,2514.28768378797,-0.06843731612153767,27.54406100493974,RES,1920,30.48,0.0,0.0,0.0,74341.420639,1873.1290820000008,0.0,72468.291557,0.0,2.935939000000001,0.0,1.4679695000000006,74341.420639,0.0
2025-04-18 04:00:00+03:00,30.770022,14.061306386000005,30.770022,0.0,0.0,0.0,3.2999779999999994,0.0,30.770021652710742,2245.193739872798,2162.1257775750532,2699.0,2245.193739872798,-0.16813866621978585,2634.25,2162.1257775750532,-0.17922529085126576,2699.0,2547.731246624266,-0.05604622207326195,30.770021652710742,RES,1920,34.07,0.0,0.0,0.0,83048.289378,2105.3859639999996,0.0,80942.903414,0.0,3.2999779999999994,0.0,1.6499889999999997,83048.289378,0.0
2025-04-18 05:00:00+03:00,10.183441,17.262285046000006,10.183441,34.326558999999996,0.0,0.0,0.0,0.0,40.733763290691755,2560.626385487404,2620.2626023015146,2871.99,2560.626385487404,-0.10841389228813322,2991.26,2620.2626023015146,-0.12402713160958447,3350.0,3228.9378202782514,-0.0361379640960444,40.733763290691755,RES,1920,44.51,0.0,0.0,0.0,131926.40359193,0.0,0.0,131926.40359193,0.0,0.0,0.0,0.0,29246.740717589997,102679.66287433999
2025-04-18 06:00:00+03:00,38.809619,17.262285046000006,38.809619,0.0,2.1596189999999993,0.0,0.0,0.0,38.80961942363674,3400.0,3400.0,2699.01,3400.0,0.32807062828161626,2725.64,3400.0,0.3125013281082663,2948.19,3270.594848531193,0.10935687609387212,38.80961942363674,RES,1920,36.65,0.0,0.0,2.1596189999999993,104747.54977719,1377.8369219999995,0.0,103369.71285519,0.0,2.1596189999999993,0.0,1.0798094999999996,104747.54977719,0.0
2025-04-18 07:00:00+03:00,25.687633,15.03587370579382,25.687633,0.0,0.0,0.0,0.14236699999999658,0.0,25.687633310787195,2780.1080255278107,2411.7076064131907,2699.01,2780.1080255278107,0.03004732310284522,2327.16,2411.7076064131907,0.03633080940424857,2350.0,2373.5370697638955,0.010015774367615082,25.687633310787195,RES,1920,25.83,0.0,0.0,0.0,69331.17834333002,90.83014599999782,0.0,69240.34819733002,0.0,0.14236699999999658,0.0,0.07118349999999829,69331.17834333002,0.0
2025-04-18 08:00:00+03:00,15.899636,15.173969695793817,15.899636,0.0,1.0196359999999984,0.0,0.0,0.0,15.899636139531795,3400.0,3400.0,3300.0,3400.0,0.23765497967457275,3046.68,3400.0,0.24324161192562718,2700.0,2913.8894817071155,0.07921832655819092,15.899636139531795,RES,1920,14.88,0.0,0.0,1.0196359999999984,52468.7988,650.527767999999,0.0,51818.271032,0.0,1.0196359999999984,0.0,0.5098179999999992,52468.7988,0.0
2025-04-18 09:00:00+03:00,15.085067,14.1227985617732,12.831662,0.0,3.5050670999999998,0.0,0.0,0.0,12.83166231326489,3400.0,3329.3062909555015,2818.0,3400.0,0.29212180382461483,2546.05,3329.3062909555015,0.30763586377152885,2418.0,2653.45017388264,0.09737393460820495,12.83166231326489,RES,1920,11.58,0.0,0.0,3.5050670999999998,42509.718806000004,2236.2328098,0.0,40273.485996200005,0.0,3.5050670999999998,0.0,1.7525335499999999,42509.718806000004,0.0
2025-04-18 10:00:00+03:00,14.874447,10.509327324659797,14.874447,0.0,0.49404750492000277,0.0,0.0,0.0,14.874447273591365,2678.210794530237,2480.6894620389635,2200.0,2678.210794530237,0.21736854296828936,1997.24,2480.6894620389635,0.24205877212501423,2199.99,2359.3928736149355,0.07245618098942978,14.874447273591365,RES,1920,13.45,0.46519974753999893,0.46519974753999893,0.49404750492000277,32723.7834,315.20230813896177,1054.1426279256375,30425.32292015861,929.1155437767875,0.49404750492000277,0.0,0.24702375246000138,32723.7834,0.0
2025-04-18 11:00:00+03:00,20.873307,10.0,20.873307,0.0,0.0,0.0,0.0,0.0,20.873306881698234,3123.0258622969613,3052.7889360270483,2239.99,3123.0258622969613,0.39421419841024363,2148.14,3052.7889360270483,0.42113127451052923,1000.0,1131.4047328034144,0.13140473280341455,20.873306881698234,RES,1920,17.72,1.5766535000000008,1.5766535000000008,0.0,46755.99894693,0.0,3637.6387156689516,39731.487781771044,3386.8724494900016,0.0,0.0,0.0,46755.99894693,0.0
